Channel,Date,Timestamp
2,2023-04-29 22:1:32,1682805692
2,2023-04-29 22:1:33,1682805693
2,2023-04-29 22:1:43,1682805703
2,2023-04-29 22:1:49,1682805709
2,2023-04-29 22:1:50,1682805710
2,2023-04-29 22:1:51,1682805711
2,2023-04-29 22:1:52,1682805712
2,2023-04-29 22:1:57,1682805717
2,2023-04-29 22:1:58,1682805718
2,2023-04-29 22:2:4,1682805724
2,2023-04-29 22:2:21,1682805741
2,2023-04-29 22:2:22,1682805742
2,2023-04-29 22:2:24,1682805744
2,2023-04-29 22:2:25,1682805745
2,2023-04-29 22:2:34,1682805754
2,2023-04-29 22:2:36,1682805756
2,2023-04-29 22:2:38,1682805758
2,2023-04-29 22:2:42,1682805762
2,2023-04-29 22:2:43,1682805763
2,2023-04-29 22:3:15,1682805795
2,2023-04-29 22:3:39,1682805819
2,2023-04-29 22:3:40,1682805820
2,2023-04-29 22:3:42,1682805822
2,2023-04-29 22:3:43,1682805823
2,2023-04-29 11:3:16,1682766196
2,2023-04-29 11:3:46,1682766226
2,2023-04-29 11:3:47,1682766227
2,2023-04-29 11:3:50,1682766230
2,2023-04-29 11:3:51,1682766231
2,2023-04-29 11:3:52,1682766232
2,2023-04-29 11:4:8,1682766248
2,2023-04-29 11:4:9,1682766249
2,2023-04-29 11:4:10,1682766250
2,2023-04-29 11:4:12,1682766252
2,2023-04-28 24:53:58,1682729638
2,2023-04-28 24:35:10,1682728510
2,2023-04-28 24:35:11,1682728511
2,2023-04-28 24:35:16,1682728516
2,2023-04-28 24:35:17,1682728517
2,2023-04-28 24:35:19,1682728519
2,2023-04-28 24:35:35,1682728535
2,2023-04-28 24:36:1,1682728561
2,2023-04-29 16:8:39,1682784519
2,2023-04-29 16:8:40,1682784520
2,2023-04-29 16:8:42,1682784522
2,2023-04-29 16:8:43,1682784523
2,2023-04-29 16:8:44,1682784524
2,2023-04-29 16:8:45,1682784525
2,2023-04-29 16:8:46,1682784526
2,2023-04-29 16:8:47,1682784527
2,2023-04-29 16:8:48,1682784528
2,2023-04-29 16:8:49,1682784529
2,2023-04-29 16:8:50,1682784530
2,2023-04-29 16:8:51,1682784531
2,2023-04-29 16:8:52,1682784532
2,2023-04-29 16:8:53,1682784533
2,2023-04-29 16:8:54,1682784534
2,2023-04-29 16:8:55,1682784535
2,2023-04-29 16:8:56,1682784536
2,2023-04-29 16:9:1,1682784541
2,2023-04-29 16:9:2,1682784542
2,2023-04-29 16:9:18,1682784558
2,2023-04-29 16:9:19,1682784559
2,2023-04-29 16:9:20,1682784560
2,2023-04-29 16:9:21,1682784561
2,2023-04-29 16:9:22,1682784562
2,2023-04-29 16:9:23,1682784563
2,2023-04-29 16:9:24,1682784564
2,2023-04-29 16:9:25,1682784565
2,2023-04-29 16:9:29,1682784569
2,2023-04-29 16:9:30,1682784570
2,2023-04-29 16:9:31,1682784571
2,2023-04-29 16:9:32,1682784572
2,2023-04-29 16:9:33,1682784573
2,2023-04-29 8:26:36,1682756796
2,2023-04-29 8:26:38,1682756798
2,2023-04-29 8:26:39,1682756799
2,2023-04-29 8:26:40,1682756800
2,2023-04-29 8:26:42,1682756802
2,2023-04-29 8:26:47,1682756807
2,2023-04-29 8:26:48,1682756808
2,2023-04-29 8:27:17,1682756837
2,2023-04-29 22:7:0,1682806020
2,2023-04-29 22:7:1,1682806021
2,2023-04-29 22:7:10,1682806030
2,2023-04-29 22:7:11,1682806031
2,2023-04-29 22:7:17,1682806037
2,2023-04-29 12:36:39,1682771799
2,2023-04-29 12:36:40,1682771800
2,2023-04-28 24:18:58,1682727538
2,2023-04-28 24:18:59,1682727539
2,2023-04-29 13:29:44,1682774984
2,2023-04-29 13:29:45,1682774985
2,2023-04-29 13:29:46,1682774986
2,2023-04-29 13:29:47,1682774987
2,2023-04-28 24:12:25,1682727145
2,2023-04-28 24:12:26,1682727146
