Channel, Sequential, Size, Real_Size, Date 
4, 44233028, 11165, 131974, 2019-11-23 23:31:6
4, 44233088, 12429, 136203, 2019-11-23 23:31:8
4, 44233148, 11026, 133666, 2019-11-23 23:31:10
4, 44233208, 11040, 135833, 2019-11-23 23:31:12
4, 44233268, 12202, 134376, 2019-11-23 23:31:14
4, 44233328, 11097, 134186, 2019-11-23 23:31:16
4, 44233388, 11189, 133093, 2019-11-23 23:31:18
4, 44233448, 11209, 133001, 2019-11-23 23:31:20
4, 44233508, 11099, 137262, 2019-11-23 23:31:22
4, 44233568, 11042, 133886, 2019-11-23 23:31:24
4, 44233628, 12377, 216817, 2019-11-23 23:31:26
5, 44231823, 10733, 134119, 2019-11-23 23:30:58
5, 44231883, 10540, 133547, 2019-11-23 23:31:0
5, 44231943, 9472, 135113, 2019-11-23 23:31:2
5, 44232003, 10624, 134356, 2019-11-23 23:31:4
5, 44232063, 10564, 134061, 2019-11-23 23:31:6
5, 44232123, 10733, 134521, 2019-11-23 23:31:8
5, 44232183, 10660, 134177, 2019-11-23 23:31:10
5, 44232243, 10653, 133952, 2019-11-23 23:31:12
5, 44232303, 10682, 134120, 2019-11-23 23:31:14
5, 44232363, 9570, 134727, 2019-11-23 23:31:16
5, 44232423, 10717, 133643, 2019-11-23 23:31:18
5, 44232483, 9571, 134832, 2019-11-23 23:31:20
5, 44232543, 9563, 134284, 2019-11-23 23:31:22
5, 44232603, 10833, 134492, 2019-11-23 23:31:24
5, 44232663, 10810, 211996, 2019-11-23 23:31:26
1, 44232638, 13032, 135152, 2019-11-23 23:30:58
1, 44232698, 11504, 134691, 2019-11-23 23:31:0
1, 44232758, 12944, 134754, 2019-11-23 23:31:2
1, 44232818, 13163, 136250, 2019-11-23 23:31:4
1, 44232878, 11644, 132107, 2019-11-23 23:31:6
1, 44232938, 11633, 134415, 2019-11-23 23:31:8
1, 44232998, 13087, 133858, 2019-11-23 23:31:10
1, 44233058, 13006, 135864, 2019-11-23 23:31:12
1, 44233118, 11600, 132725, 2019-11-23 23:31:14
1, 44233178, 13041, 136421, 2019-11-23 23:31:16
1, 44233238, 11640, 133999, 2019-11-23 23:31:18
1, 44233298, 13036, 134238, 2019-11-23 23:31:20
1, 44233358, 11592, 133786, 2019-11-23 23:31:22
1, 44233418, 13156, 133631, 2019-11-23 23:31:24
1, 44233478, 13062, 215040, 2019-11-23 23:31:26
6, 44233041, 14826, 133553, 2019-11-23 23:30:58
6, 44233101, 16374, 132512, 2019-11-23 23:31:0
6, 44233161, 13597, 142232, 2019-11-23 23:31:2
6, 44233221, 13557, 129598, 2019-11-23 23:31:4
6, 44233281, 16473, 129569, 2019-11-23 23:31:6
6, 44233341, 14827, 135329, 2019-11-23 23:31:8
6, 44233401, 13509, 139307, 2019-11-23 23:31:10
6, 44233461, 11434, 127520, 2019-11-23 23:31:12
6, 44233521, 16346, 137636, 2019-11-23 23:31:14
6, 44233581, 14794, 133413, 2019-11-23 23:31:16
6, 44233641, 13640, 140070, 2019-11-23 23:31:18
6, 44233701, 13597, 137376, 2019-11-23 23:31:20
6, 44233761, 14790, 125860, 2019-11-23 23:31:22
6, 44233821, 14746, 132441, 2019-11-23 23:31:24
6, 44233881, 13547, 213974, 2019-11-23 23:31:26
0, 44232975, 19182, 139560, 2019-11-23 23:30:58
0, 44233035, 21425, 132085, 2019-11-23 23:31:0
0, 44233095, 20258, 126496, 2019-11-23 23:31:2
0, 44233155, 21342, 140532, 2019-11-23 23:31:4
0, 44233215, 21533, 134108, 2019-11-23 23:31:6
0, 44233275, 21408, 132147, 2019-11-23 23:31:8
0, 44233335, 21410, 131695, 2019-11-23 23:31:10
0, 44233395, 20203, 139025, 2019-11-23 23:31:12
0, 44233455, 19700, 128380, 2019-11-23 23:31:14
0, 44233515, 18827, 134660, 2019-11-23 23:31:16
0, 44233575, 20970, 129843, 2019-11-23 23:31:18
0, 44233635, 18016, 131675, 2019-11-23 23:31:20
0, 44233695, 16043, 135276, 2019-11-23 23:31:22
0, 44233755, 20102, 139828, 2019-11-23 23:31:24
0, 44233815, 20642, 128722, 2019-11-23 23:31:26
0, 44233875, 20523, 20440, 2019-11-23 23:31:28
4, 44233688, 12346, 135962, 2019-11-23 23:31:28
4, 44233748, 11203, 134995, 2019-11-23 23:31:30
4, 44233808, 10995, 134297, 2019-11-23 23:31:32
4, 44233868, 11247, 133299, 2019-11-23 23:31:34
4, 44233928, 11342, 134534, 2019-11-23 23:31:36
4, 44233988, 11218, 133616, 2019-11-23 23:31:38
4, 44234048, 12303, 135436, 2019-11-23 23:31:40
4, 44234108, 11086, 135214, 2019-11-23 23:31:42
4, 44234168, 12397, 133301, 2019-11-23 23:31:44
4, 44234228, 11020, 134511, 2019-11-23 23:31:46
4, 44234288, 12584, 133726, 2019-11-23 23:31:48
4, 44234348, 10980, 134828, 2019-11-23 23:31:50
4, 44234408, 12217, 132692, 2019-11-23 23:31:52
4, 44234468, 11102, 135468, 2019-11-23 23:31:54
4, 44234528, 11120, 132638, 2019-11-23 23:31:56
4, 44234588, 12487, 84163, 2019-11-23 23:31:58
5, 44232723, 10833, 133959, 2019-11-23 23:31:28
5, 44232783, 9558, 134206, 2019-11-23 23:31:30
5, 44232843, 9664, 134675, 2019-11-23 23:31:32
5, 44232903, 10792, 134151, 2019-11-23 23:31:34
5, 44232963, 10765, 134697, 2019-11-23 23:31:36
5, 44233023, 10873, 133994, 2019-11-23 23:31:38
5, 44233083, 10870, 133725, 2019-11-23 23:31:40
5, 44233143, 9686, 134829, 2019-11-23 23:31:42
5, 44233203, 9750, 133543, 2019-11-23 23:31:44
5, 44233263, 9869, 134104, 2019-11-23 23:31:46
5, 44233323, 9875, 134037, 2019-11-23 23:31:48
5, 44233383, 9939, 135059, 2019-11-23 23:31:50
5, 44233443, 11028, 134042, 2019-11-23 23:31:52
5, 44233503, 11004, 134756, 2019-11-23 23:31:54
5, 44233563, 9804, 134134, 2019-11-23 23:31:56
5, 44233623, 9719, 80920, 2019-11-23 23:31:58
1, 44233538, 13212, 134486, 2019-11-23 23:31:28
1, 44233598, 11643, 132462, 2019-11-23 23:31:30
1, 44233658, 13120, 135539, 2019-11-23 23:31:32
1, 44233718, 11524, 133499, 2019-11-23 23:31:34
1, 44233778, 13123, 136082, 2019-11-23 23:31:36
1, 44233838, 13115, 134886, 2019-11-23 23:31:38
1, 44233898, 13076, 134013, 2019-11-23 23:31:40
1, 44233958, 13159, 135180, 2019-11-23 23:31:42
1, 44234018, 11639, 133273, 2019-11-23 23:31:44
1, 44234078, 11781, 132976, 2019-11-23 23:31:46
1, 44234138, 13142, 133967, 2019-11-23 23:31:48
1, 44234198, 11592, 134312, 2019-11-23 23:31:50
1, 44234258, 11637, 134480, 2019-11-23 23:31:52
1, 44234318, 11790, 135350, 2019-11-23 23:31:54
1, 44234378, 13112, 132718, 2019-11-23 23:31:56
1, 44234438, 13043, 84046, 2019-11-23 23:31:58
2, 44232860, 12371, 134711, 2019-11-23 23:31:28
2, 44232920, 13438, 134040, 2019-11-23 23:31:30
2, 44232980, 13586, 134616, 2019-11-23 23:31:32
2, 44233040, 13466, 133116, 2019-11-23 23:31:34
2, 44233100, 13484, 136295, 2019-11-23 23:31:36
2, 44233160, 13430, 130942, 2019-11-23 23:31:38
2, 44233220, 13424, 134229, 2019-11-23 23:31:40
2, 44233280, 12322, 136304, 2019-11-23 23:31:42
2, 44233340, 13611, 134539, 2019-11-23 23:31:44
2, 44233400, 13600, 133508, 2019-11-23 23:31:46
2, 44233460, 12143, 136861, 2019-11-23 23:31:48
2, 44233520, 13287, 132815, 2019-11-23 23:31:50
2, 44233580, 12125, 133769, 2019-11-23 23:31:52
2, 44233640, 13718, 134642, 2019-11-23 23:31:54
2, 44233700, 13434, 133234, 2019-11-23 23:31:56
2, 44233760, 13453, 86502, 2019-11-23 23:31:58
3, 44232744, 8026, 134772, 2019-11-23 23:31:28
3, 44232804, 7671, 133559, 2019-11-23 23:31:30
3, 44232864, 8010, 134772, 2019-11-23 23:31:32
3, 44232924, 8084, 134302, 2019-11-23 23:31:34
3, 44232984, 8120, 134943, 2019-11-23 23:31:36
3, 44233044, 8160, 133674, 2019-11-23 23:31:38
3, 44233104, 8056, 133964, 2019-11-23 23:31:40
3, 44233164, 8131, 134573, 2019-11-23 23:31:42
3, 44233224, 8050, 133889, 2019-11-23 23:31:44
3, 44233284, 8115, 135120, 2019-11-23 23:31:46
3, 44233344, 8000, 134584, 2019-11-23 23:31:48
3, 44233404, 7558, 133708, 2019-11-23 23:31:50
3, 44233464, 7957, 133269, 2019-11-23 23:31:52
3, 44233524, 7581, 134576, 2019-11-23 23:31:54
3, 44233584, 7046, 134410, 2019-11-23 23:31:56
3, 44233644, 7126, 79800, 2019-11-23 23:31:58
6, 44233941, 13700, 136102, 2019-11-23 23:31:28
6, 44234001, 14773, 127196, 2019-11-23 23:31:30
6, 44234061, 14825, 134715, 2019-11-23 23:31:32
6, 44234121, 13587, 141470, 2019-11-23 23:31:34
6, 44234181, 11533, 134812, 2019-11-23 23:31:36
6, 44234241, 14837, 128608, 2019-11-23 23:31:38
6, 44234301, 14804, 132016, 2019-11-23 23:31:40
6, 44234361, 12705, 138089, 2019-11-23 23:31:42
6, 44234421, 13453, 137108, 2019-11-23 23:31:44
6, 44234481, 13754, 127271, 2019-11-23 23:31:46
6, 44234541, 14877, 135696, 2019-11-23 23:31:48
6, 44234601, 12735, 130492, 2019-11-23 23:31:50
6, 44234661, 14653, 142265, 2019-11-23 23:31:52
6, 44234721, 14717, 128197, 2019-11-23 23:31:54
6, 44234781, 14779, 135103, 2019-11-23 23:31:56
6, 44234841, 13559, 205923, 2019-11-23 23:31:58
0, 44233935, 19134, 139586, 2019-11-23 23:31:30
0, 44233995, 20382, 134026, 2019-11-23 23:31:32
0, 44234055, 21720, 131537, 2019-11-23 23:31:34
0, 44234115, 19201, 139347, 2019-11-23 23:31:36
0, 44234175, 20331, 136788, 2019-11-23 23:31:38
0, 44234235, 20354, 128490, 2019-11-23 23:31:40
0, 44234295, 20421, 135180, 2019-11-23 23:31:42
0, 44234355, 19155, 136825, 2019-11-23 23:31:44
0, 44234415, 20270, 135881, 2019-11-23 23:31:46
0, 44234475, 20478, 127706, 2019-11-23 23:31:48
0, 44234535, 20369, 137584, 2019-11-23 23:31:50
0, 44234595, 20632, 138106, 2019-11-23 23:31:52
0, 44234655, 21909, 138077, 2019-11-23 23:31:54
0, 44234715, 20648, 130008, 2019-11-23 23:31:56
0, 44234775, 20847, 144325, 2019-11-23 23:31:58
1, 44234498, 13132, 132417, 2019-11-23 23:32:0
1, 44234558, 11747, 133792, 2019-11-23 23:32:2
1, 44234618, 11704, 135092, 2019-11-23 23:32:4
1, 44234678, 13010, 134719, 2019-11-23 23:32:6
1, 44234738, 11804, 133028, 2019-11-23 23:32:8
1, 44234798, 12981, 133905, 2019-11-23 23:32:10
1, 44234858, 11647, 133628, 2019-11-23 23:32:12
1, 44234918, 11636, 133320, 2019-11-23 23:32:14
1, 44234978, 13146, 137397, 2019-11-23 23:32:16
1, 44235038, 13100, 134616, 2019-11-23 23:32:18
1, 44235098, 11707, 134157, 2019-11-23 23:32:20
1, 44235158, 13054, 134395, 2019-11-23 23:32:22
1, 44235218, 13075, 133826, 2019-11-23 23:32:24
1, 44235278, 11674, 134017, 2019-11-23 23:32:26
1, 44235338, 13115, 135515, 2019-11-23 23:32:28
1, 44235398, 13217, 82907, 2019-11-23 23:32:30
4, 44234648, 11125, 134811, 2019-11-23 23:32:0
4, 44234708, 12381, 134719, 2019-11-23 23:32:2
4, 44234768, 12227, 134040, 2019-11-23 23:32:4
4, 44234828, 12462, 134950, 2019-11-23 23:32:6
4, 44234888, 11172, 134194, 2019-11-23 23:32:8
4, 44234948, 12307, 131735, 2019-11-23 23:32:10
4, 44235008, 11144, 135137, 2019-11-23 23:32:12
4, 44235068, 11165, 133061, 2019-11-23 23:32:14
4, 44235128, 12410, 137115, 2019-11-23 23:32:16
4, 44235188, 12423, 132050, 2019-11-23 23:32:18
4, 44235248, 12372, 137253, 2019-11-23 23:32:20
4, 44235308, 12232, 132598, 2019-11-23 23:32:22
4, 44235368, 11132, 133691, 2019-11-23 23:32:24
4, 44235428, 11341, 136214, 2019-11-23 23:32:26
4, 44235488, 12645, 132740, 2019-11-23 23:32:28
4, 44235548, 11063, 83542, 2019-11-23 23:32:30
3, 44233704, 8144, 134843, 2019-11-23 23:32:0
3, 44233764, 8138, 134249, 2019-11-23 23:32:2
3, 44233824, 8058, 134132, 2019-11-23 23:32:4
3, 44233884, 8090, 134297, 2019-11-23 23:32:6
3, 44233944, 8090, 134413, 2019-11-23 23:32:8
3, 44234004, 7952, 134000, 2019-11-23 23:32:10
3, 44234064, 7402, 134023, 2019-11-23 23:32:12
3, 44234124, 7923, 134526, 2019-11-23 23:32:14
3, 44234184, 7821, 133721, 2019-11-23 23:32:16
3, 44234244, 7879, 135311, 2019-11-23 23:32:18
3, 44234304, 7155, 133674, 2019-11-23 23:32:20
3, 44234364, 8061, 134185, 2019-11-23 23:32:22
3, 44234424, 8021, 134515, 2019-11-23 23:32:24
3, 44234484, 8069, 134551, 2019-11-23 23:32:26
3, 44234544, 8067, 134840, 2019-11-23 23:32:28
3, 44234604, 8022, 80441, 2019-11-23 23:32:30
5, 44233683, 9732, 135417, 2019-11-23 23:32:0
5, 44233743, 9594, 134345, 2019-11-23 23:32:2
5, 44233803, 10854, 133901, 2019-11-23 23:32:4
5, 44233863, 9585, 134174, 2019-11-23 23:32:6
5, 44233923, 10836, 134813, 2019-11-23 23:32:8
5, 44233983, 10742, 134307, 2019-11-23 23:32:10
5, 44234043, 10721, 134269, 2019-11-23 23:32:12
5, 44234103, 10818, 134488, 2019-11-23 23:32:14
5, 44234163, 10840, 133994, 2019-11-23 23:32:16
5, 44234223, 10723, 134379, 2019-11-23 23:32:18
5, 44234283, 10789, 134431, 2019-11-23 23:32:20
5, 44234343, 10807, 133890, 2019-11-23 23:32:22
5, 44234403, 9603, 134251, 2019-11-23 23:32:24
5, 44234463, 9723, 134222, 2019-11-23 23:32:26
5, 44234523, 9618, 134140, 2019-11-23 23:32:28
5, 44234583, 9603, 80235, 2019-11-23 23:32:30
2, 44233820, 13528, 135654, 2019-11-23 23:32:0
2, 44233880, 13587, 133091, 2019-11-23 23:32:2
2, 44233940, 13338, 132448, 2019-11-23 23:32:4
2, 44234000, 13766, 137276, 2019-11-23 23:32:6
2, 44234060, 13507, 133887, 2019-11-23 23:32:8
2, 44234120, 13484, 136315, 2019-11-23 23:32:10
2, 44234180, 13570, 137879, 2019-11-23 23:32:12
2, 44234240, 12363, 130444, 2019-11-23 23:32:14
2, 44234300, 13447, 134959, 2019-11-23 23:32:16
2, 44234360, 13474, 133173, 2019-11-23 23:32:18
2, 44234420, 11249, 132234, 2019-11-23 23:32:20
2, 44234480, 12001, 135285, 2019-11-23 23:32:22
2, 44234540, 13819, 133433, 2019-11-23 23:32:24
2, 44234600, 12151, 134688, 2019-11-23 23:32:26
2, 44234660, 13499, 135829, 2019-11-23 23:32:28
2, 44234720, 13559, 77687, 2019-11-23 23:32:30
0, 44234835, 21181, 124989, 2019-11-23 23:32:0
0, 44234895, 13087, 126223, 2019-11-23 23:32:2
0, 44234955, 19973, 136962, 2019-11-23 23:32:4
0, 44235015, 18963, 140383, 2019-11-23 23:32:6
0, 44235075, 21503, 134987, 2019-11-23 23:32:8
0, 44235135, 20165, 133248, 2019-11-23 23:32:10
0, 44235195, 20097, 133763, 2019-11-23 23:32:12
0, 44235255, 20222, 140610, 2019-11-23 23:32:14
0, 44235315, 20298, 139395, 2019-11-23 23:32:16
0, 44235375, 21032, 124453, 2019-11-23 23:32:18
0, 44235435, 21516, 130820, 2019-11-23 23:32:20
0, 44235495, 20180, 136526, 2019-11-23 23:32:22
0, 44235555, 16993, 127521, 2019-11-23 23:32:24
0, 44235615, 20200, 136087, 2019-11-23 23:32:26
0, 44235675, 21402, 140491, 2019-11-23 23:32:28
0, 44235735, 18769, 88612, 2019-11-23 23:32:30
6, 44234901, 13612, 140734, 2019-11-23 23:32:0
6, 44234961, 14789, 127366, 2019-11-23 23:32:2
6, 44235021, 14848, 133429, 2019-11-23 23:32:4
6, 44235081, 13618, 132822, 2019-11-23 23:32:6
6, 44235141, 14745, 140982, 2019-11-23 23:32:8
6, 44235201, 14853, 129537, 2019-11-23 23:32:10
6, 44235261, 16351, 136040, 2019-11-23 23:32:12
6, 44235321, 13640, 139601, 2019-11-23 23:32:14
6, 44235381, 14710, 137568, 2019-11-23 23:32:16
6, 44235441, 14872, 126306, 2019-11-23 23:32:18
6, 44235501, 14806, 133953, 2019-11-23 23:32:20
6, 44235561, 14717, 131375, 2019-11-23 23:32:22
6, 44235621, 13544, 132791, 2019-11-23 23:32:24
6, 44235681, 14896, 136638, 2019-11-23 23:32:26
6, 44235741, 14876, 133355, 2019-11-23 23:32:28
6, 44235801, 13671, 143392, 2019-11-23 23:32:30
1, 44235458, 13101, 134165, 2019-11-23 23:32:32
1, 44235518, 13136, 134490, 2019-11-23 23:32:34
1, 44235578, 13246, 132314, 2019-11-23 23:32:36
1, 44235638, 11683, 133243, 2019-11-23 23:32:38
1, 44235698, 13022, 134927, 2019-11-23 23:32:40
1, 44235758, 11648, 134750, 2019-11-23 23:32:42
1, 44235818, 13031, 135581, 2019-11-23 23:32:44
1, 44235878, 13105, 133400, 2019-11-23 23:32:46
1, 44235938, 11631, 134969, 2019-11-23 23:32:48
1, 44235998, 13015, 134190, 2019-11-23 23:32:50
1, 44236058, 11606, 134648, 2019-11-23 23:32:52
1, 44236118, 13130, 136783, 2019-11-23 23:32:54
1, 44236178, 13245, 134231, 2019-11-23 23:32:56
1, 44236238, 13058, 131427, 2019-11-23 23:32:58
1, 44236298, 11782, 216667, 2019-11-23 23:33:0
4, 44235608, 12339, 136743, 2019-11-23 23:32:32
4, 44235668, 11180, 134511, 2019-11-23 23:32:34
4, 44235728, 11091, 134482, 2019-11-23 23:32:36
4, 44235788, 11097, 133993, 2019-11-23 23:32:38
4, 44235848, 11043, 134780, 2019-11-23 23:32:40
4, 44235908, 11168, 132920, 2019-11-23 23:32:42
4, 44235968, 11300, 134724, 2019-11-23 23:32:44
4, 44236028, 11183, 134036, 2019-11-23 23:32:46
4, 44236088, 12354, 133653, 2019-11-23 23:32:48
4, 44236148, 11217, 135459, 2019-11-23 23:32:50
4, 44236208, 12342, 134161, 2019-11-23 23:32:52
4, 44236268, 11074, 133984, 2019-11-23 23:32:54
4, 44236328, 11139, 133853, 2019-11-23 23:32:56
4, 44236388, 11038, 133734, 2019-11-23 23:32:58
4, 44236448, 12358, 208309, 2019-11-23 23:33:0
0, 44235795, 21211, 133873, 2019-11-23 23:32:32
0, 44235855, 21292, 136934, 2019-11-23 23:32:34
0, 44235915, 21191, 134049, 2019-11-23 23:32:36
0, 44235975, 20332, 132173, 2019-11-23 23:32:38
0, 44236035, 19407, 124537, 2019-11-23 23:32:40
0, 44236095, 21457, 135263, 2019-11-23 23:32:42
0, 44236155, 20653, 130593, 2019-11-23 23:32:44
0, 44236215, 21234, 138050, 2019-11-23 23:32:46
0, 44236275, 21254, 134822, 2019-11-23 23:32:48
0, 44236335, 21217, 132685, 2019-11-23 23:32:50
0, 44236395, 20213, 140417, 2019-11-23 23:32:52
0, 44236455, 20168, 132585, 2019-11-23 23:32:54
0, 44236515, 20534, 129655, 2019-11-23 23:32:56
0, 44236575, 17825, 130508, 2019-11-23 23:32:58
0, 44236635, 19011, 238738, 2019-11-23 23:33:0
2, 44234780, 13503, 134001, 2019-11-23 23:32:32
2, 44234840, 13650, 134922, 2019-11-23 23:32:34
2, 44234900, 13374, 134023, 2019-11-23 23:32:36
2, 44234960, 13398, 133311, 2019-11-23 23:32:38
2, 44235020, 13411, 134727, 2019-11-23 23:32:40
2, 44235080, 12143, 132494, 2019-11-23 23:32:42
2, 44235140, 13401, 136575, 2019-11-23 23:32:44
2, 44235200, 13459, 135746, 2019-11-23 23:32:46
2, 44235260, 13590, 132458, 2019-11-23 23:32:48
2, 44235320, 11927, 134881, 2019-11-23 23:32:50
2, 44235380, 13426, 134169, 2019-11-23 23:32:52
2, 44235440, 12019, 134881, 2019-11-23 23:32:54
2, 44235500, 14001, 133161, 2019-11-23 23:32:56
2, 44235560, 12413, 132995, 2019-11-23 23:32:58
2, 44235620, 13501, 221337, 2019-11-23 23:33:0
5, 44234643, 10727, 133871, 2019-11-23 23:32:32
5, 44234703, 9633, 134422, 2019-11-23 23:32:34
5, 44234763, 9621, 134100, 2019-11-23 23:32:36
5, 44234823, 9583, 134449, 2019-11-23 23:32:38
5, 44234883, 10769, 134167, 2019-11-23 23:32:40
5, 44234943, 9613, 134866, 2019-11-23 23:32:42
5, 44235003, 10721, 134316, 2019-11-23 23:32:44
5, 44235063, 10695, 133619, 2019-11-23 23:32:46
5, 44235123, 9611, 134365, 2019-11-23 23:32:48
5, 44235183, 10755, 134562, 2019-11-23 23:32:50
5, 44235243, 10858, 134455, 2019-11-23 23:32:52
5, 44235303, 10797, 134604, 2019-11-23 23:32:54
5, 44235363, 10798, 134281, 2019-11-23 23:32:56
5, 44235423, 10833, 134074, 2019-11-23 23:32:58
5, 44235483, 10789, 211344, 2019-11-23 23:33:0
6, 44235861, 13617, 138630, 2019-11-23 23:32:32
6, 44235921, 14858, 126734, 2019-11-23 23:32:34
